timestamp,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x003c52A71c887461087154EcCCed08cb1C5384A5,​0x5E810c7f0065f6295aDAbF3203922f77B14EE099,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0xD3e9D60e4E4De615124D5239219F32946d10151D,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0xBaD8429F711e92A96b9a9B82aa148ffd1C4df24C,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xd90668e94ea31538408A5874dB5Ccc41CF4cC54B,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0xF9e840Ae653484ee1AE1463077E7A888bcDFCfd2,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x97deC872013f6B5fB443861090ad931542878126,​0xDe12c9510F0677EB51520546003b1e07C614FD67,​0x368A2D5CD67bB2c4C742d9482aa09f3126AA0F52,​0x550510d73cDD9A2cd97B1c2f9E47848A12da1eAf,​0xA24F2E6dCbD2Da9A220958401dAB74B365bD34E1,​0x368F6Fad75EEc78B3c6a5583c0B26A755c058108,​0x8cE6e1A223B329A76e8b5e696EDc562AABb349E1,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x21d03936c6eB660453261ECe4c211B17611fF241,​0xF20Fe58d8787c285416f8793f1ABC9Cb9354a558,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x2c6b36530c0f25FA2765e2901101b4FCF149DEC4,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xB7088c3728D12315B6c43790d13f0BaE4FD05D59,​0x4A6937aCbbdf30FC3Fb94225D3A01e8b28EA581e,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x6C3942B383bc3d0efd3F36eFa1CBE7C8E12C8A2B,​0x1F0147Bc4019C5ADD7ECb7267bAaC9d85d2470e9,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x00000000000080C886232E9b7EBBFb942B5987AA,Other
1580049245000,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580114658000,,,,,,,,,,0.25,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,0.10
1580180893000,0.05,,,,,,,,,0.27,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.01
1580247630000,,,,,,,,,,0.06,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
1580313366000,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580380051000,,,,,,,,,,0.09,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,
1580446477000,0.03,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580512997000,,,,,,,,,,0.09,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,
1580579921000,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580645575000,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1580711822000,0.10,,,,0.10,,,,,0.15,,,,,0.01,,,,,,,,,,,,0.07,,,,,,0.00,,,,,0.00
1580778615000,,,,0.09,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,
1580844182000,,,,0.08,,,,,,,,,,,0.02,,,,,,,,,,,,0.22,,,,,,,,,,,
1580910496000,0.01,,,0.21,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580977343000,,,,0.09,,,,,,0.47,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,
1581043789000,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581110121000,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581177428000,,,,0.07,,,,,,0.20,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,
1581243665000,0.02,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581310184000,,,,,,,,,,0.01,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,
1581375300000,,,,0.07,,,,,,0.05,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,
1581441429000,0.02,,,0.11,,,,,,0.33,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.00
1581508790000,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581574720000,,,,0.08,,,,,,0.52,,,,,0.01,,,,,,,,,,,,0.13,,,,,,,,,,,
1581641265000,,,,0.27,,,,,,0.18,,0.16,,,0.27,,,,,,,,,,,,0.06,,,,,,,,,,,0.07
1581707956000,0.19,,,0.10,,,,,,0.30,,,,,0.12,,,,,,,,,,,,0.10,,,,,,,,,,,0.00
1581774043000,,,,,,,,,,0.08,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,
1581841298000,,,,0.14,,,,,,0.09,,,,,0.31,,,,,,,,,,,,0.14,,,,,,,,,,,
1581907086000,,,,0.30,0.11,,,,,0.09,,,,,0.58,,,,,,,,,,,,0.31,,,,,,,,,,,0.16
1581973926000,,,,0.22,,,,,,0.19,,,,,0.19,,,,,,,,,,,,0.09,,,,,,,,,,,
1582040665000,,,,0.08,,,,,,0.36,,,,,0.09,,,,,,,,,,,,0.08,,,,,,,,,,,0.00
1582106715000,0.11,,,,,,,,,0.21,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,0.00
1582173039000,,,,0.12,,,,,,0.01,,,,,0.33,,,,,,,,,,,,0.25,,,,,,,,,,,
1582240159000,,,,0.24,,,,,,0.07,,,,,0.73,,,,,,,,,,,,0.18,,,0.54,,0.49,,,,,,
1582306851000,,,,0.10,,,,,,0.15,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,0.00
1582372667000,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.06,,,,,,,,,,,
1582439543000,0.00,,,0.06,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582505376000,,,,0.13,,,,,,0.06,,,0.70,,0.03,,,,,,,,,,,,0.36,,,,,,,,,,,0.10
1582571821000,,,,0.31,,,0.20,,,0.01,,,0.02,,0.33,,,,,,,,,,,,,,,,,,,,,,,0.08
1582638796000,0.19,,,,,,,,,0.08,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,
1582705647000,,,,,,,,,,1.20,,,,,0.60,,,,,,1.23,,,,,,,,0.02,,,,,,,,,0.05
1582771019000,,,,0.07,,,0.50,,,1.02,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,0.11
1582837876000,0.13,,,0.35,2.53,,40.60,,,13.76,30.69,0.00,,0.26,0.51,,,,,,,,,,0.18,,,,,,,0.39,,,,,,0.45
1582904573000,,1.00,,3.46,,,,,,0.06,,,,,4.55,,,,,,,,,,,,,,,,,,,,,,,
1582970808000,0.88,,,1.49,,,,,,0.84,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,0.08
1583036689000,,,,1.07,,,,,,1.09,,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,
1583103301000,,,,0.40,,,,,,1.44,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,,
1583168974000,0.04,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583235956000,0.00,,,0.61,,,,,,1.33,,,,,2.22,,,,,,,,,,,,0.25,,,,,0.11,,,,,,
1583302077000,0.02,,,0.16,0.08,,0.01,,,0.09,,,,,0.10,,,,,,,,,,,,0.14,,,,,,,,,,,
1583368317000,0.01,,,,,,,,,,,,,,0.88,,0.64,,,,,,,,,,,,,,,1.12,,,,,,0.09
1583435384000,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583502285000,0.02,,,0.15,,,,,,0.27,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,
1583567810000,,,,0.08,0.07,,,,,0.32,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,
1583633541000,,,,0.25,0.25,,,,,0.03,,,,,0.39,,,,,,,,,,,,0.10,,,,,,,,,,,
1583699841000,,,,0.34,0.43,,,,,0.21,,,,,0.95,,,,,,,,,,,,0.11,,,,,,,,,,,
1583767163000,,,,0.28,,,,,,0.32,,0.08,,,1.06,,,,,,,,,,,,0.31,,,,,,,0.19,,,0.19,0.04
1583833348000,,,,0.63,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,0.09,
1583900197000,,,,0.33,,,,,,0.19,,,,,0.79,,,,,,,,0.45,,,,,,,,,,,,,,,0.01
1583966404000,,,,0.92,,,,,,0.12,,,,,2.05,,,,,,,,,0.75,,,,,,,,0.75,0.02,,,,,0.44
1584033400000,,,2.06,0.71,4.20,,,,,0.09,,,,,6.56,,,,,3.68,,,,,,,,,,,,,,,,,0.05,
1584100621000,,,,1.04,3.30,,,0.10,,,,,,,2.39,,,,,,,,,,,,,,,,,,0.27,3.90,2.16,0.75,6.49,0.04
1584168330000,,,,0.27,,,19.62,,,9.75,,,,0.32,5.60,,,,,,,,,,0.32,,,,,,,,,,,,14.23,0.09
1584234522000,0.12,,,0.17,,,,,,0.76,,,,,1.91,,,,,,,,,,,,2.24,,,,,,,,,,1.96,0.01
1584300469000,0.28,,,,,,,,,0.87,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,1.17,
1584367227000,0.10,,,,0.23,,,,,1.81,,,,,4.71,,,,,,,,,,,,,,,,,0.49,,,,,0.56,
1584434720000,0.27,,,,,,,,,3.44,,,,0.34,2.51,,,,,,,,,,0.34,,,,,,,,,,,,0.75,0.08
1584500082000,,,,,,,,,,0.57,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,0.29,
1584566455000,,,,,,,,,,1.49,,,,,1.44,,,,,,,,,,,,,,0.83,,,,,,,,0.84,
1584632903000,0.59,,,,,,,,,2.33,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,0.18
1584699859000,0.41,,,0.29,0.16,,,1.00,,2.66,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,0.94,0.02
1584766483000,,,,1.60,,,,,,2.22,,,,,5.27,,,,,,,,,,,,,,,,,,,,,,0.17,
1584833664000,,,,0.55,0.19,,,,,1.22,,,,,1.35,,,,,,,,,,,,0.14,,,,,,,,,,0.03,0.20
1584902413000,,,,0.36,,,,,,0.09,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,
1584970249000,,,,0.09,,,,,,2.25,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,0.15,
1585036977000,0.26,,,,,,,,,0.76,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,0.03
1585105600000,,,,0.38,0.02,,,,,0.65,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,0.23,
1585173391000,,,,0.26,,,,,,0.22,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,
1585239172000,,,,0.10,,,,,,0.10,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,0.01
1585306138000,,,,0.47,,,,,,0.10,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,
1585372283000,,,,0.32,,,,,,,,,,,1.30,,,,,,,,,,,,,,,,,,,,,,,0.00
1585438491000,,,,0.07,,,,,,0.57,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,
1585504149000,0.00,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,
1585571105000,,,,0.20,,,,,,0.78,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,
1585637238000,0.00,,,,,,,,,0.10,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,0.01
1585704243000,,,,0.12,,,,,,0.13,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,
1585770840000,0.07,,,,0.13,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,0.17
1585836257000,0.12,,,0.38,0.11,,,,,0.34,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,0.07
1585903293000,,,,0.18,,,,,,0.17,,,,,0.67,,,,,,,,,,,,,1.28,,,,,,,,,,
1585969610000,,,,,,,,,,0.42,,,,,0.79,,,,,,,,,,,,,0.08,,,,,,,,,,
1586036191000,,,,,,,,,,0.30,,,,,0.06,,,,,,,,,,,,,0.07,,,,,,,,,,0.00
1586102872000,,,,0.09,,,,,2.22,0.00,,2.33,,,0.10,,,,,,,,,,,,,0.17,,,,,,,,,,
1586169028000,,,,0.53,,,,,0.52,0.45,,,,,0.14,,,,,,,,0.61,,,,,0.15,,,,,,,,,,
1586236183000,,,,0.60,,,,,,0.41,,,,,0.50,,,,,,,,,,,,,0.77,,,,,,,,,,
1586301955000,,,,0.49,0.17,,,,,0.10,,,,,0.55,,,,,,,,,,,,,0.08,,,,,,,,,,
1586368858000,,,,0.33,,,,,,0.14,,,,,0.47,,,,,,,,,,,,,0.36,,,,,,,,,,
1586434964000,,,,0.02,,,,1.60,0.45,1.12,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,
1586501245000,,,,,,,,,,0.20,,,,,0.61,,,,,,,,,,,,,0.06,,,,,,,,,,0.04
1586568529000,,,,0.28,,,,,,0.12,,,,,0.75,,,,,,,,,,,,0.04,,,,,,,,,,,
1586635021000,,,,,,,,,,0.06,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,0.11
1586701369000,,,,0.13,,,,,,0.29,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,
1586767741000,,,,,,,,,,0.47,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,
1586833705000,,,,0.24,,,,,,0.22,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,
1586900049000,,,,0.10,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586966921000,,,,0.08,,,,,,0.13,,,,,0.27,,,,,,,,,,,,,,,,,,0.43,,,,,0.27
1587033174000,,,,0.29,,,,,,1.40,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,
1587099968000,,,,,,,,,,0.37,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,0.00
1587167698000,,,,0.22,0.19,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587234387000,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
