timestamp,​0x0DC411b17d337Af85D83eA5A3577D09132Aae866,​0x133D93566f9699B3Af46fE150daA8a67a9563ED6,​0xaBa7616b43F7EC88a603b0e2e46C4639206CF297,​0x9BA6F2851c8Afe6be654fbd4C3dC7e9E64cfFE53,​0x63DF7d9D7795883d56cA290f94aba8a6AA4F6f22,​0xBAc675C310721717Cd4A37F6cbeA1F081b1C2a07,​0x288025c2f4edBa0F4C52F7d1Ad7B24337f702b11,​0xe810f906b25Fb4C1b0821Bfe6d61F31Ba6879d32,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,​0x978aAD63FE35F7A72573c411C3dfF53608AaeaC9,​0x4c7256CF27A29992a752BD710a859F6542D63546,​0xe8EfCF0ff27e9D2150598273716914096d22c246,​0x6Bce8F3E4A929a7f817E07d125De53E881154c25,​0x1b25Cd78c96e5d311D322D93f59fEA85d9E45d1B,​0x395d48020EF5e29168706e16258db6c6c4D7d317,​0x82D5CBe057F17BF58c728829C7AEd242Fe5B4623,​0x000000001e29fcd9B1469a7954DC65ff254FFfC0,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x3f3981046071A639EfAd5752F8312E7E0Ef00838,​0x787b4b7FFEf8edDaD54F311039aCF4c36FEC9593,​0x6d1b731Ce6e88bd41b22BaB615860C2b67b6C877,​0xE227CDb4F2DBb8624c0e5EB562Bb7EB60157Af77,​0x26E068650ae54b6c1b149e1B926634b07e137b9F,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0x99ef7D7AB77Ba043d036eB8D039c76978b78CA80,​0x85b34DaF22e6c84733FC10051d0c8b9E7A0caB45,​0xF63246f4dF508EBa748DF25DAA8bd96816a668Ba,​0xbC5DAe1121b8A600927e087ADfdA96565d4A4B35,​0xe3C64C12aadE620973a6e157eDEAc7d0dcd157e4,​0x0ef936F2FC7E140E84872dD83f7A969ABEE64db8,​0x8A0AF4A60AB015A2489C9E512F66cFA22CC89951,​0xbbC448eD7Dd2F9234a4221CE8279889d93902DE2,​0xDBfCa6b7fF1a2c5F7ddEbDb06572F5E402B2CC80,​0x8F5aAfdE2f96238e88403a9aF533F7D0440309f4,​0x9927A3BF777Fc74d7879319e46C51681DABa4bf3,​0xDA9e4c69AFE23b689eba329CE6abd49Cb574A290,​0x074976a8D5F07dA5DADa1Eb248AD369a764bB373,​0xdb0FA209f856c8798F1adb6f1554639c28248577,​0xC2b977Be48d23F5fE810d94F03fBCD1FBCD9f1Ed,​0xb9bc87e399E371100F83ffC51ED44c13DAF576cE,​0xBA333F8ff556bF35D38E102a98dAF1c5F6d9D708,​0xc59d941D3493fe196F048fCA96C2503d4c365391,​0x07C9CeEee50cFc50f4283e8F0b18a207C2bc4A0d,​0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6,​0xe1723E41058cb01859E9826022a390DC68a9AB71,​0xd6e371526cdaeE04cd8AF225D42e37Bc14688D9E,​0xa568785f84ca6ea2b41d271dCC614B9c0bC61Ffd,​0x8e4Fb9Bb9dc27CFd7f4396aA669e21B1A0b54705,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xe1c58E66FfB39A99cCCB97c05Af60E6Ab5A7dFd3,​0xBDd74e67f0f5729b3eAD8e9C231e739A281fa153,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x8bCE57b7B84218397FFB6ceFaE99F4792Ee8161d,​0xe981E60f1C6B3BFcf83139A21f84dEbd471cc55B,​0xe45B587f0a351188225EfBc96295CA718fEb8bA1,​0xDE04086bABf2E92F9fae4153894756a393A89cfD,​0x7Fcf6fB4Df8b6728490927ac19693aCBB417D528,​0x21d84C39BA00dFa4470d5E8F6F80fB72A4D1Ba40,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x630db35A7Dfcf53a56551aFC86281959525A1f04,​0x4ef2Ab73EF2214EBeba6f087A8DcF89731504301,​0xc64D280cb3d9D7ef4533539Abef48C5e0fCd3A01,​0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,​0x058E81d2193fB3200f2740d0395F8561cB89e009,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x70B8753DFC2095d6Df00806cD820c5c73CcB44f7,​0x46188f0bB4928E3d851Ec8E70CFEd58f17C7D2C8,​0x4d15d199772fFB191E8DDF13437Ce05e0035DF1A,​0x0c7800054E62d473B3bF7ed185BE55Ebd87b3d24,​0x7DD3e1c555f15bDA63c77C19D721382000c67106,​0x0087C5900B9Bbc051B5F6299f5bCE92383273B28,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0x297E625054F2bB2413D955435b390542fD60Cca8,​0x470B9a1CA1f44a472b146db3c08EC738F5239524,​0xa96dbFd3Ef810dd8D13c330a3881E7e9C2aEb6dd,​0xa1B15C25e3B594FBE791233488aA7607420Cf9E8,​0x00CeD7a739e418008eEaeA4b566F022A58033d87,​0xA8Cc687E981e9cB29E5BAEf75062A39430C8D334,​0xd1D4C33e18181a131239F4235B5c356A2b4747F8,​0xB9A8dEae8115C7d7B8AED2CE4610C54e023E964F,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x97deC872013f6B5fB443861090ad931542878126,​0x72200574ce62Be6b9a3C36a0d63aA9F07102b4AF,​0x0A7EAEE9d588C0af4eAC758c3bd6b1E69e4d8f3B,​0x50af627e6b8Fc889B0Ffd8812198E87c78330557,​0x4F532e0ae9954A85E5396F3E8d1876556317bFBA,​0x2Ad77B6ee8CfBfA52c0cc6EF9D04FC2Ab9D06C12,​0x06eCac531640502F253a6Ea6C470c7De1B51E32C,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0x398da2455431a5de959b25aeF85BAdcA5e394313,​0x542032e0d1e4e9Ef26480f1B97D8b962Ec5BeB04,​0x22F347150369B91A5B071CDde6AB5c4Ac76F4632,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x3a68541b411C7feE1328347250AE12f41bDf5021,​0xF625BB4BE421261De6371879e91b2242c98F912C,​0x397d34604F2b2227F4fb0bFEC2e48D4E85C5aA67,​0xffE865dCD9588683a4E0b2322441e71407DA3f18,​0x00a183fdBEBcE39cc1065b14B1015Cea3B40b651,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0xA250621c41A4A81F1852977049C943B49C6BaaBD,​0xda521f6DE82BbC4B99978AE778088763C48A6aCa,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x42869A8455671C419BdCD1905f4966E6D305f216,​0x64aBC5b10C77d93BE5038E7b4965D2F0D8279127,​0x421E56cA6E4B03350188CEc58d053B427245665d,​0x05DF130ED6611BeF407be37ACe7E669E260Dc0A8,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0xDEf2825451D74faE9bbD675096a8E145e82F0ff5,​0xdE62947329085292a28EC4B694f637ea259dAAD0,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x268e4bb7A9E0CDE4BFc2d840ADE104c55025627D,​0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,​0x4dA2e85D64bEcE663CCaB06E89B970b6b077f22F,Other
1549452970000,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,2.00
1549541642000,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549628950000,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03,,12.01,,,,,,,,,,,1.57,,1.00,,,,,,,,,,,,,,,,2.00,,1.96
1549717506000,5.11,,,,,,,10.00,,,,,,,,,,,,,,,,9.51,,,,,,,,,,,,,,,,11.62,,,,,,,,,,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,5.02,,0.99,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,7.00,,1.88
1549810793000,4.51,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,,,,,,,,,,,,0.77
1549913781000,,,,,,,,20.00,,,,,,,,,,,,,,,,5.90,,,,,,,,,,,,,,28.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,5.02,,2.32,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,1.40
1550015706000,,,,,,,,40.05,,,,,,,,,,,,,,,,27.15,,,,,,,,,,,,,,,4.76,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,,1.00,,
1550119035000,1.50,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,4.78,,,,,,,,,,0.85,0.67,,,,,,,,,,,,,7.57,,,,,,,,,,,,,6.49,,,,,,,,9.03,,10.00,,,,,,,,,,20.89,,,1.00,,,,,,0.40,,,,,,,,,,,,0.00
1550223641000,5.50,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,,,8.94,,,,,,,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,,,,,0.09,,,,,8.83,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,1.00,,3.90
1550326685000,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,0.57
1550429585000,,,,,,,,,,,,,,,,,,,16.41,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,2.01,,3.00,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,1.29
1550532875000,2.49,,,,,,,5.00,,,,,,,,,,,5.20,,2.78,,,18.56,,,,,,,,,,,,,,,4.51,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,19.06,,5.68,,,,,,,,,,,,,2.00,,3.00,,,,3.08,5.00,,,,,,,,,,,0.28
1550633598000,,,,,,,,,,,,,,,,0.35,,,9.89,,,,,2.01,,,,,,,,,,,,,,,4.40,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,,,,,,,,,,,,,2.82,,,,,,,,,,,,,,,,,,1.53
1550735511000,2.00,,,,,,,,,,,,,,,0.43,,,5.15,,,,,13.70,,,,,,,,,4.65,,34.44,,,,4.40,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,2.00,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,2.00,,7.92
1550837309000,0.40,,,,,,,5.00,,,,,,,,,,,5.08,,,,,22.99,,,,,,,,,,,32.56,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,0.27
1550937834000,,,,,,,,,,,,,,,,3.92,,,31.38,,,,,15.30,,,,,,,,,,,,,,,,9.10,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,2.22,,,,,,,,,,8.45,,,0.98,,,,,,0.03,,,,,,,,,,1.00,,0.41
1551038450000,18.00,,,,,,,,,,,,,,,1.55,,,4.63,,,,,17.83,,,,,,,,,,,53.27,,,,,,,,,,,,,,9.09,10.73,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,0.78,,,2.01,,13.00,,,,,,,,,,,,,1.00,,,,,,3.27,,,,,,,,,,1.00,,
1551140412000,5.00,,,,,,,,,,,,,,,,,,104.39,,,,,61.34,,,,,,,,,,,109.38,,,,,3.10,,,,,,,,,,2.32,,,,,,,,,,,,,1.90,,,,,,,,,,,,,,,,,,2.40,,,,,31.77,,,,,,,,,,,,,2.04,,,,,,,3.00,,,,,,,,,3.00,,0.01
1551242071000,1.50,,,,,,,,2.84,,,,,,,,,,9.42,,,,,3.30,,,,,,,,,,,14.27,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,3.44,,,,,,,,,,,,,,,,,,0.50,,,13.01,,3.95,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,0.07
1551342768000,,,,,,,,,0.27,,,,,,,,,,35.82,,,,,6.46,,,,,,,,,,,6.95,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,10.01,,,,,,,,,,,,,4.89,,,,,0.71,,,,,1.49,,,,,,,,0.33,,,,,2.00,,,,,,,,,,,,,,,,10.01,,0.43
1551431102000,,,,,,,,,,,,,,,,,,,8.17,,,,,,,,,,,,,,,,20.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,7.00,,3.21
1551500225000,,,,,,,,5.00,,,,,,,,,,,17.92,,,,,,,,,,,,,,,,7.05,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,1.00,,,,,,,6.54,,,,,,,,,,,,,,,,,,,,,,1.00,,4.00
1551568203000,,,,,,,,,,,,,,,,,,,8.51,,,,,,,,,,,,,,,,6.69,,,,,,,,,,,,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,2.00
1551635562000,,,,,,,,,,,,,,,,,,,13.76,,,,,,,,,,,,,,,,6.94,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,2.00,,1.34
1551703372000,,,,,,,,,,,,,,,,,,,13.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,2.00,,,,,2.00,2.45,,,,,,,,,,1.30
1551770679000,0.35,,,,,,,3.00,,,,,,,,,,,13.54,,,,,2.90,,,,,,,,,,,13.64,,,,,,,,,,,,,,,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,3.30,,,,,,,,,,,,,1.00,,,,,,,,,,,0.40
1551838168000,,,,,,,,,,,,,,,,,,,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,1.00,,
1551905102000,,,,,,,,,20.17,,,,,,,,,,58.12,,,,,8.50,,,,,,,,,,,10.67,,,,,,,,,,,,,,,17.05,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,3.61,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,6.00,,0.41
1551973041000,,,,,,,,,,,,,,,,,,,19.36,,,,,,,,,,,,,3.00,,,10.42,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,,,,1.40,,,,,,,,,,3.00,,
1552039745000,,,,,,,,,,,,,,,,,,,10.17,,,,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,,,,,,3.00,,,,,,,,,1.00,,0.01
1552108151000,,,,,,,,,,,,,,,,,,,74.08,,,,,,,,,,,,,,,,32.60,,,,,10.04,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,,,,,,,,,,,,,0.23,,,,,11.05,,,,,,,,1.38,,,,,3.03,,10.21,,,,,5.90,,,,,,,,,3.00,,12.17
1552175208000,,,,,,,,,,,,,,,,,,,11.57,,,,,,,,,,,,,,,,10.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,,,,,,,,,1.00,,,,,3.60,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,1.00,,0.33
1552241652000,,,,,,,,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,6.06
1552309136000,,,,,,,,,,,,,,,,,,,11.41,,,,,4.20,,,,,,,,,,,5.09,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,3.02,,,,,,,,,,,,1.99,,,,,0.28,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,2.03
1552376359000,,,,,,,,,,,,,,,,,,,28.16,,,,,10.20,,,,5.00,,,,,,,37.15,,,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,1.00,,0.02
1552443118000,,,,,,,,,,,,,,,,,,,20.69,,,,,3.31,,,,1.60,,,,,,,5.30,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,1.81,,,,,,,,,,,,,,,,,,,5.71,1.00,,,,,,,,,2.00,,2.00
1552510965000,,,,,,,,,,,,,,,,,,,17.69,,,1.96,,,,,,5.07,,,0.11,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.13,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,5.00,,,,5.63,,,,,,,,,,,,4.18
1552578457000,,,,2.00,,,,,,,,,,,,,,,9.01,,,1.53,,0.25,,,,,,,2.57,1.22,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552645085000,,,,2.00,,6.28,,,,,,,,,,,,,13.63,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36
1552712032000,,,,1.60,,,,,,,,,,,,,,,23.92,,3.20,0.65,,3.52,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,,,,,,4.00,,6.00,,,,,,,,0.63,2.00,,,,,,,,,,,2.13
1552778665000,1.89,,,13.99,,,,,,,,,,,,,,,10.07,,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89
1552845464000,2.56,,,,,,,,,,,,,,,,,,9.63,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,1.11
1552913957000,2.72,,,,,,,,,,,,,,,,,,15.42,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42
1552981368000,0.48,,,10.20,,13.98,,,,,,,,,,,,,25.94,,1.70,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,,,,,,,,,6.63,,,,,,,,,,,,,,,,,,,,,4.01,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00
1553048481000,,,,,,,,,,,,,,,,,,,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,,,,,,,1.00,,,,,,,,,,,0.24
1553115278000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
1553183074000,,,,2.00,,,,,,,,,,,,,,,15.47,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,
1553250112000,,,,,,,,,,,,,,,,,,,16.86,,,3.95,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.29
1553317511000,,,,,,,,,,,,,,,,,,,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,0.87,1.00,,,,,,,,,,2.90
1553384962000,,,,4.00,,8.00,,,,,,,,,,,,,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,4.34,,,,,,,,,,,,,3.10,,,,,,4.28,,,,,,,,,,,,11.50
1553452320000,,,,1.00,,,,,,,,,,,,,,,16.05,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,1.14
1553519035000,,,,1.00,,,,,,,,,,,,,,,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,2.89,,,,,,,1.00,,,2.50,,,,,,,,0.10
1553586275000,,,,,,,,,,,,,,,,,,,5.45,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,0.93,,3.00,,,,,,,,0.08
1553654855000,,,,,,,,,,,,,,,,,,,10.93,,,,,,,,,2.19,,,,,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,1.40
1553721327000,,,,,,,,,,,,,,,,,,,22.12,,,2.32,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,1.00,,,2.50,,,,,,,,1.00
1553789263000,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,1.14
1553856960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,0.00
1553924945000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28
1553992486000,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554060309000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,
1554127394000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,6.10,,,3.00,,,,,,,,0.10
1554195576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,,,,,,,,,,,,1.00,,,,,,,,,,,4.50
1554262735000,2.09,,,,,8.52,,,,,,,6.34,,,,,,2.42,,,,,2.24,,,,,,,,,,9.97,,,,,,,,,,,,,,,,0.32,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,3.76,,,,,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,0.47
1554331280000,1.94,,,,,,,,,,,,,,,,,,2.35,,1.00,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,0.21,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1554398543000,,,,2.00,,,,,,,,,,,,,,,2.40,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,0.50
1554466199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
1554532618000,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554599495000,,,,1.00,,,,,,,,,,,,,,,2.41,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554666574000,,,,,,8.33,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,10.26,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,1.00,,,,,,1.44,,,,,,,,,,,,6.46
1554733845000,2.31,,,,,,,,,,,,,,,,,,3.24,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,0.67
1554800647000,,,,,,,,,,,,,,,,,,,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,,,,,,,,,,,3.81,,,,,,,,,,,,,,,,,,1.48,,,,,,0.10,,,,,,,,,,,,,,,1.47,,,,3.00,,,,,,,,,,,1.44
