timestamp,​0x34C6F95476700e4dfCdaf28b56b99bc1E24e25F7,​0xEF422dBBF46120dE627fFb913C9AFaD44c735618,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0xA8965bF4F2Fc1714359D99739F50baeBE46B50CB,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x00923B9a074762B93650716333B3E1473A15048e,​0x414a0A46C49B1cb326426Db8af667d6eCA5caD24,​0xD91d47cecE9EA3AEC67132d2B2A627495528fd6a,​0xBb72B029a3e5019B504e5a943b9CC445Ad40c07d,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,Other
1594868516000,,,,,,,,,,,0.79
1595002354000,,,,,,,,,,,0.22
1595068938000,,,,,,,,,,,0.25
1595135940000,,,,,,,,,,,0.12
1595202619000,,,,,,,,,,,0.63
1595270294000,,,,,,,,,,,0.06
1595338300000,,,,,,0.21,,,,,
1595405073000,,,,,,,,,,,0.12
1595471028000,,,,,,,,,,,0.20
1595672114000,,,,,,0.21,,,,,
1595738927000,,,,,,,,,,,0.08
1595805432000,,,,,,,,,,,0.70
1595872747000,,,,,,,,,,,0.94
1595939151000,,,,,,,,,,,0.31
1596072129000,,,,,,,,,,,0.00
1596140024000,,,,,,,,,,,0.09
1596273444000,,,,,,,,,,,0.11
1596339947000,,,,,,,,,,,0.22
1596406368000,,,,,,,,,,,0.27
1596473308000,,,,,,,,,,,0.03
1596540683000,,,,,,,,,,,0.02
1596606713000,,,,,,,,,,,0.12
1596807570000,,,,,,,,,,,0.00
1596874169000,,,,,,,,,,,0.23
1596940389000,,,,,,,,,,,0.06
1597006979000,,,,,,,,,,,0.19
1597073639000,,,,,,,,,,,0.13
1597140607000,,,,,,,,,,,0.45
1597273425000,,,,,,,,,,,0.04
1597472334000,,,,,,,,,,,0.28
1597539439000,,,,,,,,,,,0.57
1597673119000,,,,,,,,,,,0.15
1597740778000,,,,,,,,,,,0.17
1598005285000,,,,,,,,,,,0.31
1598138530000,,,,,,,,,,,0.12
1598271030000,,,,,,,,,,,0.08
1598337535000,,,,,,,,,,,0.39
1598469678000,,,,,,,,,,,0.09
1598602302000,,,,,,,,,,,0.06
1598734918000,,,,,,,,,,,0.09
1598801522000,,,,,,,,,,,0.03
1598867833000,,,,,,,,,,,0.06
1598932763000,,,,,,,,,,,0.04
1599065306000,,,,,,,,,,,0.05
1599131830000,,,,,,,,,,,1.04
1599197725000,,,,,,,,,,,0.64
1599263811000,,,,,,,,,,,0.06
1599330041000,,,,,,,,,,,0.03
1599594452000,,,,,,,,,,,0.03
1599661253000,,,,,,,,,,,0.04
1599727959000,,,,,,,,,,,0.29
1599793183000,,,,,,,,,,,0.58
1599859185000,,,,,,,,,,,0.13
1599925296000,,,,,,,,,,,0.69
1600125024000,,,,,,,,,,,0.00
1600190832000,,,,,,,,,,,0.10
1600257235000,,,,,,,,,,,0.48
1600323285000,,,,,,,,,,,0.15
1600389220000,,,,,,,,,,,0.20
1600456406000,,,,,,,,,,,0.01
1600589122000,,,,,,,,,,,0.06
1600654235000,,,,,,,,,,,0.65
1600719844000,,,,,,,,,,,0.05
1600786926000,,,,,,,,,,,0.20
1600852525000,,,,,,,,,,,0.06
1600920149000,,,,,,,,,,,0.47
1601053079000,,,,,,,,,,,0.09
1601187908000,,,,,,,,,,,0.02
1601459154000,,,,,,,42391.29,,,,48.79
1601525869000,,,,,,,8445.34,,,,0.44
1601592730000,,,,,,,,,,,0.14
1601660827000,,,,,,,8627.23,,,,4.63
1601728631000,,,,,,,8705.27,,,,0.35
1601796104000,,,,,,,,,,,0.00
1601863935000,,,,,,,8263.74,,,,0.38
1601931072000,,,,,,,8177.46,,,,0.15
1601998104000,,,,,,,,,,,0.04
1602065856000,,,,,,,8376.79,,,,0.50
1602133843000,,,,,,,,,,,0.08
1602202095000,,,,,,,,,,,0.02
1602270387000,,,,,,,7632.58,,,,0.30
1602403481000,,,,,,,,,,,0.01
1602469107000,,,,,,,7622.60,,,,0.25
1602535471000,,,,,,,7619.52,,,,0.16
1602601229000,,,,,,,15118.57,,,,0.50
1602667579000,,,,98264.32,,,7557.92,447250.80,,,27.46
1602732764000,,,,,,,7552.91,,,,0.20
1602799114000,,,,,,,,,,,0.44
1602865569000,,,,,,,,,,,0.15
1602931980000,,,,,,,,,,,0.47
1602998570000,,,,,,,,,,,0.05
1603130753000,,,,,,,,,,,0.05
1603196826000,,,,,,,,,,,0.01
1603395740000,,,,,,,,,,,0.11
1603462512000,,,,,,,,,,,0.03
1603528247000,,,,,,,,,,,0.04
1603594450000,,,,,,,,,,,0.10
1603661160000,,,,,,,,,,,0.06
1603860005000,,,,,,,,,,,0.01
1603925650000,,,,,,,,,,,0.15
1604059142000,,,,,,,,,,,0.14
1604125251000,,,,,,,,,,,0.17
1604191395000,,,,,,,,,,,0.11
1604257692000,,,,,,,,,,,0.01
1604324653000,,,,,,,,,,,0.03
1604390633000,,,,,,,,,,,0.73
1604457123000,,,,,,,,,,,0.17
1604523521000,,,,,,,,,,,0.11
1604589935000,,,,,,,,,,,0.11
1604721624000,,,,,,,,,,,0.11
1604855096000,,,,,,,,,,,0.10
1604921012000,,,,,,,,,,,0.00
1605054181000,,,,,,,,,,,0.88
1605120052000,,,,,,,,,,,0.40
1605187095000,,,,,,,,,,,0.08
1605252569000,,,,,,,,,,,0.11
1605319158000,,,,,,,,,,,0.11
1605385703000,,,,,,,,,,,0.15
1605451285000,,,,,,,,,,,0.09
1605583771000,,,,,,,,,,,0.03
1605717149000,,,,,,,,,,,0.14
1605982271000,,,,,,,,,,,0.09
1606114478000,,,,,,,,,,,0.12
1606181350000,,,,,,,,,,,0.23
1606247275000,,,,,,,,,,,0.13
1606314098000,,,,,,,,,,,0.02
1606380252000,,,,,,,,,,,0.19
1606579323000,,,,,,,,,,,0.04
1606711814000,,,,,,,,,,,0.09
1606843839000,,,,,,,,,,,0.12
1606976748000,,,,,,,,,,,0.14
1607109266000,,,,,,,,,,,0.08
1607176193000,,,,,,,,,,,0.02
1607508150000,,,,,,,,,,,0.02
